"","MODEL","SCENARIO","REGION","VARIABLE","UNIT","Year","value"
"1063072","GRAPE-15","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1063213","GRAPE-15","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1950.67
"1063228","GRAPE-15","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1063239","GRAPE-15","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,971.67
"1063254","GRAPE-15","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1063265","GRAPE-15","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-212.67
"1063280","GRAPE-15","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1063291","GRAPE-15","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-33
"1063306","GRAPE-15","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1071897","GRAPE-15","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,968
"1071912","GRAPE-15","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1072053","GRAPE-15","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1950.67
"1072068","GRAPE-15","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1072079","GRAPE-15","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,971.67
"1072094","GRAPE-15","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1072105","GRAPE-15","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-212.67
"1072120","GRAPE-15","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1072131","GRAPE-15","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-33
"1072146","GRAPE-15","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1073665","GRAPE-15","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,968
"1073680","GRAPE-15","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1073821","GRAPE-15","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1950.67
"1073836","GRAPE-15","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1073847","GRAPE-15","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,971.67
"1073862","GRAPE-15","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1073873","GRAPE-15","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-212.67
"1073888","GRAPE-15","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1073899","GRAPE-15","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-33
"1073914","GRAPE-15","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1076525","IMAGE","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1833.87727588037
"1076536","IMAGE","R5B0","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1076693","IMAGE","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1608.29015861049
"1076704","IMAGE","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1076721","IMAGE","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,995.107592193545
"1076732","IMAGE","R5B0","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1076749","IMAGE","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-58.9647114123684
"1076760","IMAGE","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1076777","IMAGE","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,105.05047684333
"1076788","IMAGE","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1082115","IMAGE","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1833.87727588037
"1082126","IMAGE","R5B0LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1082283","IMAGE","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1608.29015861049
"1082294","IMAGE","R5B0LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1082311","IMAGE","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,995.107592193545
"1082322","IMAGE","R5B0LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1082339","IMAGE","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-58.9647114123684
"1082350","IMAGE","R5B0LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1082367","IMAGE","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,105.05047684333
