"","MODEL","SCENARIO","REGION","VARIABLE","UNIT","Year","value"
"5816795","MAgPIE","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,39.6435
"5816805","MAgPIE","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2040,5215.1818
"5816815","MAgPIE","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,25.826
"5816825","MAgPIE","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2040,594.2011
"5816835","MAgPIE","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,24.905
"5816845","MAgPIE","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2040,243.5452
"5816855","MAgPIE","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0
"5817263","MAgPIE","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2040,889.6064
"5817273","MAgPIE","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,16.8708
"5817283","MAgPIE","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2040,1367.3631
"5817293","MAgPIE","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,47.4303
"5817303","MAgPIE","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2040,8636.1895
"5817313","MAgPIE","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,40.9357
"5817323","MAgPIE","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2040,470.5404
"5817333","MAgPIE","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,28.0935
"5817343","MAgPIE","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2040,194.2527
"5817353","MAgPIE","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0.0031
"5842230","NLU 1.0","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2040,530.595647
"5842245","NLU 1.0","R5B0","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0
"5842430","NLU 1.0","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2040,2112.563103
"5842445","NLU 1.0","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0
"5842470","NLU 1.0","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2040,1175.787996
"5842485","NLU 1.0","R5B0","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0
"5842510","NLU 1.0","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2040,229.273522
"5842525","NLU 1.0","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0
"5842550","NLU 1.0","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2040,0.833623
"5842565","NLU 1.0","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0
"5845695","NLU 1.0","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2040,4.581942
"5845710","NLU 1.0","R5B0LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0
"5845895","NLU 1.0","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2040,6.437807
"5845910","NLU 1.0","R5B0LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0
"5845935","NLU 1.0","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2040,24.487562
"5845950","NLU 1.0","R5B0LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0
"5845975","NLU 1.0","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2040,1.51518
"5845990","NLU 1.0","R5B0LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0
"5846015","NLU 1.0","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2040,1.035849
"5846030","NLU 1.0","R5B0LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0
"5846850","NLU 1.0","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2040,530.378188
"5846865","NLU 1.0","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0.762013
"5847050","NLU 1.0","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2040,2111.195879
"5847065","NLU 1.0","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,1.687958
"5847090","NLU 1.0","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2040,1175.752691
"5847105","NLU 1.0","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0.94881
"5847130","NLU 1.0","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2040,229.304096
"5847145","NLU 1.0","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,1.243161
"5847170","NLU 1.0","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2040,0.831972
"5847185","NLU 1.0","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,0.823097
"5849160","NLU 1.0","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2040,530.422043
"5849175","NLU 1.0","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,5.086831
"5849360","NLU 1.0","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2040,2108.744275
"5849375","NLU 1.0","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,11.841248
"5849400","NLU 1.0","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2040,1176.113883
"5849415","NLU 1.0","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,6.964748
"5849440","NLU 1.0","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2040,229.335435
"5849455","NLU 1.0","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,7.213287
"5849480","NLU 1.0","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2040,0.860247
"5849495","NLU 1.0","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,5.931535
"5860710","NLU 1.0","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2040,531.406547
"5860725","NLU 1.0","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,9.147621
"5860910","NLU 1.0","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2040,2105.391064
"5860925","NLU 1.0","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,21.845964
"5860950","NLU 1.0","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2040,1176.905654
"5860965","NLU 1.0","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,13.770188
"5860990","NLU 1.0","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2040,229.137097
"5861005","NLU 1.0","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,12.05182
"5861030","NLU 1.0","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2040,0.82985
"5861045","NLU 1.0","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,11.444385
"5872260","NLU 1.0","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2040,3.529524
"5872275","NLU 1.0","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,12.402727
"5872460","NLU 1.0","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2040,7.747137
"5872475","NLU 1.0","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,11.181646
"5872500","NLU 1.0","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2040,22.322308
"5872515","NLU 1.0","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,13.299168
"5872540","NLU 1.0","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2040,1.331822
"5872555","NLU 1.0","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,14.816727
"5872580","NLU 1.0","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2040,1.106294
"5872595","NLU 1.0","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,13.394693
"5874570","NLU 1.0","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2040,531.004425
"5874585","NLU 1.0","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,13.019251
"5874770","NLU 1.0","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2040,2104.840235
"5874785","NLU 1.0","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,31.103215
"5874810","NLU 1.0","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2040,1176.088841
"5874825","NLU 1.0","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,21.504199
"5874850","NLU 1.0","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2040,229.185798
"5874865","NLU 1.0","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,16.443535
"5874890","NLU 1.0","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2040,0.887459
"5874905","NLU 1.0","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2040,17.317918
"6223543","MAgPIE","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2045,170.0042
"6223553","MAgPIE","R5B0","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6223563","MAgPIE","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2045,416.5271
"6223573","MAgPIE","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6223583","MAgPIE","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2045,967.1931
"6223593","MAgPIE","R5B0","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6223603","MAgPIE","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2045,-44.6418
"6223613","MAgPIE","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6223623","MAgPIE","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2045,35.9172
"6223633","MAgPIE","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6226033","MAgPIE","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2045,172.6835
"6226043","MAgPIE","R5B0LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6226053","MAgPIE","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2045,420.7314
"6226063","MAgPIE","R5B0LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6226073","MAgPIE","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2045,954.3428
"6226083","MAgPIE","R5B0LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6226093","MAgPIE","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2045,-43.2776
"6226103","MAgPIE","R5B0LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6226113","MAgPIE","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2045,41.7623
"6226123","MAgPIE","R5B0LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6226531","MAgPIE","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2045,153.7246
"6226541","MAgPIE","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,4.3294
"6226551","MAgPIE","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2045,745.4367
"6226561","MAgPIE","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,21.742
"6226571","MAgPIE","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2045,1234.4636
"6226581","MAgPIE","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,4.9355
"6226591","MAgPIE","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2045,280.5003
"6226601","MAgPIE","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,7.8819
"6226611","MAgPIE","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2045,118.5741
"6226621","MAgPIE","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6228025","MAgPIE","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2045,434.3591
"6228035","MAgPIE","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,9.5007
"6228045","MAgPIE","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2045,1353.7775
"6228055","MAgPIE","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,32.2241
"6228065","MAgPIE","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2045,1763.0622
"6228075","MAgPIE","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,19.1568
"6228085","MAgPIE","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2045,249.6889
"6228095","MAgPIE","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,16.8963
"6228105","MAgPIE","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2045,93.2919
"6228115","MAgPIE","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0
"6232507","MAgPIE","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2045,516.8016
"6232517","MAgPIE","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,15.1426
"6232527","MAgPIE","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2045,1385.7729
"6232537","MAgPIE","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,42.307
"6232547","MAgPIE","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2045,5517.0146
"6232557","MAgPIE","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,33.2861
"6232567","MAgPIE","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2045,415.4356
"6232577","MAgPIE","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,25.9291
"6232587","MAgPIE","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2045,170.3803
"6232597","MAgPIE","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0.002
"6236491","MAgPIE","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2045,499.093
"6236501","MAgPIE","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,15.0374
"6236511","MAgPIE","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2045,1370.4859
"6236521","MAgPIE","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,42.2471
"6236531","MAgPIE","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2045,5525.0197
"6236541","MAgPIE","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,33.4327
"6236551","MAgPIE","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2045,404.2343
"6236561","MAgPIE","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,25.9476
"6236571","MAgPIE","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2045,167.2923
"6236581","MAgPIE","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0.002
"6236989","MAgPIE","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2045,941.5204
"6236999","MAgPIE","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,24.1907
"6237009","MAgPIE","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2045,938.5797
"6237019","MAgPIE","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,50.4987
"6237029","MAgPIE","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2045,7824.5072
"6237039","MAgPIE","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,51.7254
"6237049","MAgPIE","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2045,485.6349
"6237059","MAgPIE","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,29.0924
"6237069","MAgPIE","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2045,161.2335
"6237079","MAgPIE","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2045,0.0485
"6296644","AIM/CGE","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2050,66.0394
"6296773","AIM/CGE","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2050,154.4146
"6296795","AIM/CGE","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2050,367.9994
"6296816","AIM/CGE","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2050,273.98
"6296838","AIM/CGE","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2050,28.1925
"6301752","AIM/CGE","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2050,48.6364
"6301881","AIM/CGE","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2050,154.3568
"6301903","AIM/CGE","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2050,478.928
"6301924","AIM/CGE","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2050,310.5615
"6301946","AIM/CGE","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2050,123.333
"6302776","AIM/CGE","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2050,55.2318
"6302790","AIM/CGE","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,2.0532
"6302917","AIM/CGE","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2050,160.7123
"6302931","AIM/CGE","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0.2153
"6302941","AIM/CGE","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2050,499.6807
"6302954","AIM/CGE","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,38.0325
"6302964","AIM/CGE","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2050,273.2679
"6302978","AIM/CGE","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0.0255
"6302988","AIM/CGE","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2050,24.951
"6303001","AIM/CGE","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0.4938
"6305942","AIM/CGE","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2050,77.8167
"6305956","AIM/CGE","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,6.6229
"6306083","AIM/CGE","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2050,195.3783
"6306097","AIM/CGE","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,16.62
"6306107","AIM/CGE","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2050,634.9794
"6306120","AIM/CGE","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,56.5344
"6306130","AIM/CGE","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2050,322.6845
"6306144","AIM/CGE","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0.1336
"6306154","AIM/CGE","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2050,31.5414
"6306167","AIM/CGE","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0.8002
"6312230","AIM/CGE","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2050,142.9921
"6312244","AIM/CGE","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,11.9093
"6312371","AIM/CGE","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2050,293.0985
"6312385","AIM/CGE","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,50.3435
"6312395","AIM/CGE","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2050,637.8321
"6312408","AIM/CGE","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,56.9943
"6312418","AIM/CGE","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2050,393.12
"6312432","AIM/CGE","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0.1747
"6312442","AIM/CGE","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2050,36.409
"6312455","AIM/CGE","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0.6438
"6320679","AIM/CGE","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2050,138.6048
"6320693","AIM/CGE","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,9.3658
"6320820","AIM/CGE","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2050,492.9767
"6320834","AIM/CGE","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,20.6753
"6320844","AIM/CGE","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2050,1460.6239
"6320857","AIM/CGE","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,89.4442
"6320867","AIM/CGE","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2050,432.8532
"6320881","AIM/CGE","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0.229
"6320891","AIM/CGE","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2050,12.0695
"6320904","AIM/CGE","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0.3512
"6321727","AIM/CGE","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2050,171.9272
"6321741","AIM/CGE","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,16.5236
"6321868","AIM/CGE","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2050,399.7681
"6321882","AIM/CGE","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,84.6889
"6321892","AIM/CGE","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2050,648.0532
"6321905","AIM/CGE","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,57.6892
"6321915","AIM/CGE","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2050,426.2132
"6321929","AIM/CGE","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0.2058
"6321939","AIM/CGE","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2050,33.7318
"6321952","AIM/CGE","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0.8336
"6344545","BET","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2050,292.617866130757
"6344553","BET","R5B0","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6344671","BET","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2050,170.345913202501
"6344679","BET","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6344692","BET","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2050,218.293629394396
"6344700","BET","R5B0","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6344713","BET","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2050,321.161029557206
"6344721","BET","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6344734","BET","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2050,808.898639121748
"6344742","BET","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6346433","BET","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2050,292.61785285367
"6346441","BET","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6346559","BET","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2050,170.34590869683
"6346567","BET","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6346580","BET","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2050,218.293617982874
"6346588","BET","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6346601","BET","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2050,321.160998631172
"6346609","BET","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6346622","BET","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2050,808.898621863455
"6346630","BET","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6348321","BET","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2050,496.061199408715
"6348329","BET","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6348447","BET","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2050,719.498934929174
"6348455","BET","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6348468","BET","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2050,476.692838762878
"6348476","BET","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6348489","BET","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2050,644.043632301132
"6348497","BET","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6348510","BET","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2050,1055.71692897624
"6348518","BET","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6353985","BET","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2050,560.658393435066
"6353993","BET","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6354111","BET","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2050,2802.12700186499
"6354119","BET","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6354132","BET","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2050,1353.15993753363
"6354140","BET","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6354153","BET","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2050,845.133374277122
"6354161","BET","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
"6354174","BET","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2050,1229.00393066177
"6354182","BET","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2050,0
